brand,price,Kondisi,TahunKendaraan,Kilometer,Warna,Transmisi,JumlahGir,Pintu,KapasitasKursi,Dirakit,EngineCC,Baut(mm),Struk(mm),TenagaPuncak(hp),TenagaPutaranPuncak(Nm),InjeksiLangsung,Aspirasi,TipeBahanBakar,RadiusPutar,Panjang(mm),Lebar(mm),Tinggi(mm),JarakRoda(mm),ThreadDepan,ThreadBelakang,KonsumsiBahanBakar(L/100km),BeratKosong(kg),RasioKompresi,EmisiCO2,0-100km/jam(detik),KecepatanTertinggi(km/jam)
Hyundai,385000000,Mobil Bekas,2021,25 - 30K km,Abu-abu,Automatic,1,5,5,Complete Built Up (CBU),,,,,,,,Electric,10.6,4180,1800,1570,2600,1564,1575,,,,,9.9,155
Chery,325000000,Mobil Bekas,2023,15 - 20K km,Putih,Automatic,9,5,5,Complete Knock Down (CKD),1498,,,145,230,Direct Injection,Turbocharged,Pertamax,,4400,1830,1588,2630,,,,,,,,
Honda,176000000,Mobil Bekas,2016,70 - 75K km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,,4294,1772,1580,2610,1535,1540,6.5,1220,10.3,155,,
Hyundai,290000000,Mobil Bekas,2023,3000 km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Hyundai,610000000,Mobil Bekas,2023,20 - 25K km,Silver,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Honda,349900000,Mobil Bekas,2022,15 - 20K km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1498,73,89.5,119,145,Multi-Point Injection,Aspirated,Pertamax,,4330,1790,1590,2610,1535,1540,,,10.6,,,
Nissan,188000000,Mobil Bekas,2016,60 - 65K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),2488,89,100,169,233,Multi-Point Injection,Aspirated,Pertamax,11.2,4640,1820,1720,2705,1575,1575,,1561,,,,
Mazda,517000000,Mobil Bekas,2022,15 - 20K km,Abu-abu,Automatic,6,4,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11.2,4865,1840,1450,2830,1595,1585,,,13,,,
Hyundai,385000000,Mobil Bekas,2021,25 - 30K km,Abu-abu,Automatic,1,5,5,Complete Built Up (CBU),,,,,,,,Electric,10.6,4180,1800,1570,2600,1564,1575,,,,,9.9,155
Chery,325000000,Mobil Bekas,2023,15 - 20K km,Putih,Automatic,9,5,5,Complete Knock Down (CKD),1498,,,145,230,Direct Injection,Turbocharged,Pertamax,,4400,1830,1588,2630,,,,,,,,
Honda,176000000,Mobil Bekas,2016,70 - 75K km,Abu-abu,Automatic,,5,5,Complete Knock Down (CKD),1497,73,89.4,118,145,Multi-Point Injection,Aspirated,Pertamax,,4294,1772,1580,2610,1535,1540,6.5,1220,10.3,155,,
Hyundai,290000000,Mobil Bekas,2023,3000 km,Hitam,Automatic,,5,5,Complete Knock Down (CKD),1497,,,113,144,Multi-Point Injection,Aspirated,Pertamax,,4315,1790,1630,2610,1572,1576,,1200,,,,
Mercedes-Benz,2500000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,9,4,5,Complete Knock Down (CKD),2999,83,92.4,367,500,Direct Injection,Turbocharged,Pertamax,,5289,1954,1503,3216,1660,1688,,2095,10.5,,5.1,250
Mercedes-Benz,1750000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,9,5,7,Complete Built Up (CBU),1991,83,92,211,350,Direct Injection,Turbocharged,Pertamax,,5140,1928,1890,3200,,,9.4,2395,9.8,220,,210
Toyota,129000000,Mobil Bekas,2013,150 - 155K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1298,,,91,117,Multi-Point Injection,Aspirated,Pertamax,,4140,1660,1695,2655,,,,1075,,,,
Nissan,249000000,Mobil Bekas,2018,20 - 25K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),2488,89,100,169,233,Multi-Point Injection,Aspirated,Pertamax,11.2,4640,1820,1720,2705,1575,1575,,1561,,,,
Daihatsu,117000000,Mobil Bekas,2016,130 - 135K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,9,4070,1655,1600,2525,1470,1475,4.2,990,,,,
Toyota,300000000,Mobil Bekas,2014,85 - 90K km,Hitam,Automatic,7,5,7,Complete Built Up (CBU),2362,88.5,96,168,220,Multi-Point Injection,Aspirated,Pertamax,11.8,4870,1830,1905,2950,1570,1575,9.4,1905,9.6,218,,
Mitsubishi,279000000,Mobil Bekas,2015,75 - 80K km,Abu-abu,Automatic,5,5,7,Complete Built Up (CBU),2477,91.1,95,175,350,Direct Injection,Turbocharged,Solar,11.1,4695,1815,1840,2800,,,,1965,16.5,,,
Mitsubishi,230000000,Mobil Bekas,2018,30 - 35K km,Hitam,Automatic,4,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4475,1750,1700,2275,,,,,,,,
Honda,250000000,Mobil Bekas,2017,105 - 110K km,Hitam,Automatic,5,5,5,Complete Knock Down (CKD),2354,,,188,222,Multi-Point Injection,Aspirated,Pertamax,,4595,1820,1685,2620,1580,1580,8.4,1560,,196,,
Lexus,800000000,Mobil Bekas,2017,50 - 55K km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),1998,86,86,235,350,Direct Injection,Turbocharged,Pertamax,11.6,4890,1895,1690,2790,1640,1630,8.4,1995,10,195,9.2,200
Hyundai,650000000,Mobil Bekas,2023,0 - 5K km,Lainnya,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Suzuki,203000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Lexus,320000000,Mobil Bekas,2011,135 - 140K km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),2672,,,182,252,Multi-Point Injection,Aspirated,Pertamax,,4770,1885,1685,2740,,,,1840,,,,
BMW,900000000,Mobil Bekas,2021,20 - 25K km,Hitam,Automatic,8,4,5,Complete Knock Down (CKD),1998,82,94.6,258,400,Direct Injection,Turbocharged,Pertamax,,4709,1827,1435,2851,1589,1604,6.4,1545,10.2,147,5.8,250
Toyota,173200000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,4110,1655,1600,2525,1460,1465,,990,,,,
Hyundai,435000000,Mobil Bekas,2019,115 - 120K km,Hitam,Automatic,8,5,7,Complete Built Up (CBU),2199,85.4,96,190,441,Direct Injection,Turbocharged,Solar,11.4,4770,1890,1680,2765,,,,,16,,,
Daihatsu,203000000,Mobil Bekas,2019,65 - 70K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,10.4,4435,1695,1705,2685,1445,1460,,1270,10.5,,,
Toyota,1395000000,Mobil Bekas,2016,160 - 165K km,Hitam,Automatic,6,5,8,Complete Built Up (CBU),4461,86,96,232,616,Direct Injection,Turbocharged,Solar,,4950,1970,1905,2850,1640,1635,,,,,,
Daihatsu,136000000,Mobil Bekas,2015,115 - 120K km,Silver,Manual,5,5,7,Complete Knock Down (CKD),1495,72,91.8,107,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4385,1695,1695,2685,1445,1460,,1195,,,,
Mitsubishi,228000000,Mobil Bekas,2018,55 - 60K km,Merah,Automatic,,5,5,Complete Knock Down (CKD),1998,86,86,148,197,Multi-Point Injection,Aspirated,Pertamax,10.6,4300,1800,1625,2670,1525,1530,,1425,,,,
Suzuki,185000000,Mobil Baru,2023,- km,Merah,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
BMW,281000000,Mobil Bekas,2013,55000 km,Silver,Automatic,8,5,5,,1995,,,184,380,Direct Injection,Turbocharged,Solar,,4648,1881,1675,2810,,,5.4,1800,,141,,
Suzuki,203000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,4,5,7,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
BMW,399000000,Mobil Bekas,2016,55 - 60K km,Hitam,Automatic,6,5,5,Complete Knock Down (CKD),1499,82,94.6,136,220,Direct Injection,Turbocharged,Pertamax,,4439,1821,1612,2670,1561,1562,5.6,1505,,129,9.7,
MG,407900000,Mobil Baru,2023,0 - 5K km,Abu-abu,Automatic,,4,5,Complete Built Up (CBU),1498,75,84.8,113,150,Multi-Point Injection,Turbocharged,Pertamax,11.2,4675,1842,1473,2680,1559,1563,,,11.5,,,180
Suzuki,116000000,Mobil Bekas,2022,5 - 10K km,Silver,Automatic,5,5,4,Complete Built Up (CBU),998,73,79.5,67,90,Multi-Point Injection,Aspirated,Pertamax,,3565,1520,1549,2380,1315,1320,,,11,,,
Mazda,385000000,Mobil Bekas,2018,40 - 45K km,Hitam,Automatic,6,4,5,Complete Built Up (CBU),2488,89,100,188,252,Direct Injection,Aspirated,Pertamax,11.2,4865,1840,1450,2830,1595,1585,,,13,,,
Nissan,123000000,Mobil Bekas,2013,95 - 100K km,Putih,Automatic,,4,5,Complete Built Up (CBU),2496,85,73.3,179,228,Multi-Point Injection,Aspirated,Pertamax,11.4,4850,1795,1485,2775,1550,1555,,1545,9.8,,,
Mazda,355000000,Mobil Bekas,2017,40 - 45K km,Merah,Automatic,6,5,5,Complete Built Up (CBU),2488,89,100,188,251,Direct Injection,Aspirated,Pertamax,,4550,1840,1680,2700,1595,1595,,1548,13,,,
Toyota,225000000,Mobil Bekas,2021,8000 km,Merah,Automatic,,5,5,Complete Knock Down (CKD),996,71,83.9,97,140,Multi-Point Injection,Turbocharged,Pertamax,10.2,4030,1710,1635,2525,1475,1470,,1680,9.5,,,
Ineos,2800000000,Mobil Baru,2023,0 - 5K km,Hijau,Automatic,8,5,5,Complete Built Up (CBU),2993,84,90,245,550,Direct Injection,Turbocharged,Solar,13.5,4856,1930,2036,2922,,,,2700,16.5,,9.9,160
BMW,799000000,Mobil Bekas,2020,15 - 20K km,Hitam,Automatic,8,4,5,Complete Knock Down (CKD),1998,82,94.6,258,400,Direct Injection,Turbocharged,Pertamax,,4709,1827,1435,2851,1589,1604,6.4,1545,10.2,147,5.8,250
Wuling,3980000000,Mobil Baru,2024,- km,Hitam,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4295,1850,1652,2700,,,,,,,,150
Suzuki,243200000,Mobil Baru,2024,- km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Toyota,137000000,Mobil Bekas,2006,155 - 160K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),2694,95,95,158,241,Multi-Point Injection,Aspirated,Pertamax,11.4,4695,1840,1850,2750,,,11.2,1800,9.6,264,,
Mitsubishi,248000000,Mobil Baru,2023,0 - 5K km,Hitam,Automatic,,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4500,1800,1750,2275,,,,,,,,
Mitsubishi,270900000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,7,Complete Knock Down (CKD),1499,75,84.8,103,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4595,1750,1750,,,,,,,,,
Wuling,398000000,Mobil Baru,2024,- km,Hitam,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4295,1850,1652,2700,,,,,,,,150
Mercedes-Benz,2795000000,Mobil Baru,2023,0 - 5K km,Putih,Automatic,9,4,5,Complete Knock Down (CKD),2999,83,92.4,367,500,Direct Injection,Turbocharged,Pertamax,,5289,1954,1503,3216,1660,1688,,2095,10.5,,5.1,250
Suzuki,257400000,Mobil Baru,2024,- km,Hitam,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
Honda,157900000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,,5,5,Complete Knock Down (CKD),1199,73,71.6,89,110,Multi-Point Injection,Aspirated,Pertamax,,3815,1680,1485,2405,1475,1460,,,10.1,,,
Lexus,800000000,Mobil Bekas,2017,50 - 55K km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),1998,86,86,235,350,Direct Injection,Turbocharged,Pertamax,11.6,4890,1895,1690,2790,1640,1630,8.4,1995,10,195,9.2,200
Hyundai,650000000,Mobil Bekas,2023,0 - 5K km,Lainnya,Automatic,1,5,5,Complete Knock Down (CKD),,,,,,,,Electric,,4635,1890,1605,3000,1628,1637,,1910,,,7.4,185
Suzuki,203000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,4,5,7,Complete Knock Down (CKD),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
Lexus,320000000,Mobil Bekas,2011,135 - 140K km,Hitam,Automatic,6,5,5,Complete Built Up (CBU),2672,,,182,252,Multi-Point Injection,Aspirated,Pertamax,,4770,1885,1685,2740,,,,1840,,,,
BMW,900000000,Mobil Bekas,2021,20 - 25K km,Hitam,Automatic,8,4,5,Complete Knock Down (CKD),1998,82,94.6,258,400,Direct Injection,Turbocharged,Pertamax,,4709,1827,1435,2851,1589,1604,6.4,1545,10.2,147,5.8,250
Toyota,173200000,Mobil Baru,2024,0 - 5K km,Putih,Automatic,4,5,7,Complete Knock Down (CKD),1197,72.5,72.5,87,108,Multi-Point Injection,Aspirated,Pertamax,,4110,1655,1600,2525,1460,1465,,990,,,,
Hyundai,435000000,Mobil Bekas,2019,115 - 120K km,Hitam,Automatic,8,5,7,Complete Built Up (CBU),2199,85.4,96,190,441,Direct Injection,Turbocharged,Solar,11.4,4770,1890,1680,2765,,,,,16,,,
Daihatsu,203000000,Mobil Bekas,2019,65 - 70K km,Silver,Automatic,4,5,7,Complete Knock Down (CKD),1496,72.5,90.6,103,136,Multi-Point Injection,Aspirated,Pertamax,10.4,4435,1695,1705,2685,1445,1460,,1270,10.5,,,
Toyota,1395000000,Mobil Bekas,2016,160 - 165K km,Hitam,Automatic,6,5,8,Complete Built Up (CBU),4461,86,96,232,616,Direct Injection,Turbocharged,Solar,,4950,1970,1905,2850,1640,1635,,,,,,
Daihatsu,136000000,Mobil Bekas,2015,115 - 120K km,Silver,Manual,5,5,7,Complete Knock Down (CKD),1495,72,91.8,107,141,Multi-Point Injection,Aspirated,Pertamax,10.4,4385,1695,1695,2685,1445,1460,,1195,,,,
Mitsubishi,228000000,Mobil Bekas,2018,55 - 60K km,Merah,Automatic,,5,5,Complete Knock Down (CKD),1998,86,86,148,197,Multi-Point Injection,Aspirated,Pertamax,10.6,4300,1800,1625,2670,1525,1530,,1425,,,,
Suzuki,185000000,Mobil Baru,2023,- km,Merah,Automatic,4,5,5,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,3990,1745,1485,2520,1505,1510,4.5,,,,,
BMW,281000000,Mobil Bekas,2013,55000 km,Silver,Automatic,8,5,5,,1995,,,184,380,Direct Injection,Turbocharged,Solar,,4648,1881,1675,2810,,,5.4,1800,,141,,
Suzuki,203000000,Mobil Baru,2023,0 - 5K km,Lainnya,Automatic,4,5,7,Complete Built Up (CBU),1462,74,85,103,138,Multi-Point Injection,Aspirated,Pertamax,10.2,4450,1775,1710,2740,1515,1530,,,10.5,,,
BMW,399000000,Mobil Bekas,2016,55 - 60K km,Hitam,Automatic,6,5,5,Complete Knock Down (CKD),1499,82,94.6,136,220,Direct Injection,Turbocharged,Pertamax,,4439,1821,1612,2670,1561,1562,5.6,1505,,129,9.7,
